id,city_id,name,color
1,1,梅田・北新地・中津,red
2,1,天神橋・天満・南森町,indigo
3,1,福島・野田,deep-purple
4,1,都島・京橋,pink
5,1,淀屋橋・本町・心斎橋,blue-grey
6,1,難波・上本町,teal
7,1,鶴橋・今里・玉造,green
8,2,三宮・二宮,red
9,2,元町・花隈,indigo
10,2,六甲道,deep-purple
11,3,河原町・烏丸,red
12,3,木屋町,indigo
13,3,京都市役所,deep-purple
14,3,西院・二条城,pink
20,4,姫路,red
15,5,すすきの・大通・札幌駅前,red
16,5,北24条,indigo
17,5,平岸,deep-purple
18,5,菊水,pink
19,6,仙台,red
21,7,神田,red
22,7,阿佐ヶ谷,indigo
23,7,五反田,deep-purple
24,7,新宿・二条城,pink
25,8,名駅・丸の内・円頓寺,red
26,8,栄・錦,indigo
27,8,新栄・千種・今池,deep-purple
30,9,岡山,red
31,10,広島,red
28,11,天神・大名・中洲,red
29,11,薬院・平尾,indigo
32,12,仙台,red
33,13,松江,red
34,14,高知,red
35,1,守口,light-green
36,1,堺,orange
37,1,天王寺・南田辺,brown
38,7,浜松町,blue-grey
39,7,池袋,teal
40,7,渋谷・恵比寿・池尻,green
41,5,円山・西28丁目,blue-grey
42,12,静岡,red

